Drug_Name,Cell_type,risk,Platform,Type_of_EADs,conc,EAD,ddFPDc,site
Loratadine,CDI,L,ACA,,1,0,-0.32829981,6
Loratadine,CDI,L,ACA,,2,0,-6.261665411,6
Loratadine,CDI,L,ACA,,3,0,-3.087366509,6
Loratadine,CDI,L,ACA,,4,0,-9.546159991,6
Loratadine,CDI,L,ACA,,1,0,-4.632756461,6
Loratadine,CDI,L,ACA,,2,0,7.07191468,6
Loratadine,CDI,L,ACA,,3,0,6.055834878,6
Loratadine,CDI,L,ACA,,4,0,8.189241755,6
Loratadine,CDI,L,ACA,,1,0,-10.92651492,6
Loratadine,CDI,L,ACA,,2,0,3.862671626,6
Loratadine,CDI,L,ACA,,3,0,5.863033957,6
Loratadine,CDI,L,ACA,,4,0,1.559048394,6
Loratadine,CDI,L,ACA,,1,0,-6.575280884,6
Loratadine,CDI,L,ACA,,2,0,3.371797037,6
Loratadine,CDI,L,ACA,,3,0,5.526454828,6
Loratadine,CDI,L,ACA,,4,0,1.391523667,6
Loratadine,CDI,L,ACA,,1,0,-8.362755017,6
Loratadine,CDI,L,ACA,,2,0,-0.40751354,6
Loratadine,CDI,L,ACA,,3,0,7.419534429,6
Loratadine,CDI,L,ACA,,4,0,-4.680520004,6
Loratadine,CDI,L,AXN,,1,0,-12.55864399,7
Loratadine,CDI,L,AXN,,2,0,-2.712522491,7
Loratadine,CDI,L,AXN,,3,0,9.933909941,7
Loratadine,CDI,L,AXN,,4,0,5.55446573,7
Loratadine,CDI,L,AXN,,1,0,8.207443489,7
Loratadine,CDI,L,AXN,,2,0,15.64572286,7
Loratadine,CDI,L,AXN,,3,0,17.24284522,7
Loratadine,CDI,L,AXN,,4,0,11.74836022,7
Loratadine,CDI,L,AXN,,1,0,-0.067037157,7
Loratadine,CDI,L,AXN,,2,0,3.83753149,7
Loratadine,CDI,L,AXN,,3,0,20.01649302,7
Loratadine,CDI,L,AXN,,4,0,14.48077673,7
Loratadine,CDI,L,AXN,,1,0,6.267662781,7
Loratadine,CDI,L,AXN,,2,0,7.62540035,7
Loratadine,CDI,L,AXN,,3,0,12.0662757,7
Loratadine,CDI,L,AXN,,4,0,6.889718013,7
Loratadine,CDI,L,AXN,,3,0,7.926862484,7
Loratadine,CDI,L,AXN,,4,0,11.27898834,7
Loratadine,CDI,L,AXN,,2,0,-3.95963455,7
Loratadine,AXG,L,AXN,,1,0,-13.76949182,1
Loratadine,AXG,L,AXN,,1,0,7.973103447,1
Loratadine,AXG,L,AXN,,1,0,2.792438203,1
Loratadine,AXG,L,AXN,,1,0,5.90814773,1
Loratadine,AXG,L,AXN,,1,0,5.365622788,1
Loratadine,AXG,L,AXN,,2,0,0.822430771,1
Loratadine,AXG,L,AXN,,2,0,-0.734609803,1
Loratadine,AXG,L,AXN,,2,0,3.088050279,1
Loratadine,AXG,L,AXN,,2,0,1.924124461,1
Loratadine,AXG,L,AXN,,2,0,2.345463948,1
Loratadine,AXG,L,AXN,,3,0,-10.034994,1
Loratadine,AXG,L,AXN,,3,0,9.83627951,1
Loratadine,AXG,L,AXN,,3,0,-2.945030921,1
Loratadine,AXG,L,AXN,,3,0,1.543260867,1
Loratadine,AXG,L,AXN,,3,0,0.253332951,1
Loratadine,AXG,L,AXN,,4,0,-11.41905508,1
Loratadine,AXG,L,AXN,,4,0,7.413208903,1
Loratadine,AXG,L,AXN,,4,0,-0.777135033,1
Loratadine,AXG,L,AXN,,4,0,-7.234713788,1
Loratadine,AXG,L,AXN,,4,0,0.585068261,1
Loratadine,CDI,L,AXN,,1,0,8.361085419,1
Loratadine,CDI,L,AXN,,1,0,16.56083125,1
Loratadine,CDI,L,AXN,,1,0,22.46463426,1
Loratadine,CDI,L,AXN,,1,0,4.264157764,1
Loratadine,CDI,L,AXN,,1,0,-2.412694887,1
Loratadine,CDI,L,AXN,,2,0,11.18442666,1
Loratadine,CDI,L,AXN,,2,0,41.99763782,1
Loratadine,CDI,L,AXN,,2,0,19.17267198,1
Loratadine,CDI,L,AXN,,2,0,-0.862085661,1
Loratadine,CDI,L,AXN,,2,0,-8.806803249,1
Loratadine,CDI,L,AXN,,3,0,19.57418249,1
Loratadine,CDI,L,AXN,,3,0,8.123777419,1
Loratadine,CDI,L,AXN,,3,0,6.301412015,1
Loratadine,CDI,L,AXN,,3,0,4.792677675,1
Loratadine,CDI,L,AXN,,3,0,2.662221276,1
Loratadine,CDI,L,AXN,,4,0,13.15081685,1
Loratadine,CDI,L,AXN,,4,0,-2.815952174,1
Loratadine,CDI,L,AXN,,4,0,22.46068486,1
Loratadine,CDI,L,AXN,,4,0,5.563224721,1
Loratadine,CDI,L,AXN,,4,0,2.661441967,1
Loratadine,CDI,L,AXN,,1,0,-2.229198948,8
Loratadine,CDI,L,AXN,,1,0,-5.166515188,8
Loratadine,CDI,L,AXN,,1,0,4.705758713,8
Loratadine,CDI,L,AXN,,1,0,12.17602329,8
Loratadine,CDI,L,AXN,,1,0,5.469197902,8
Loratadine,CDI,L,AXN,,2,0,-5.728533812,8
Loratadine,CDI,L,AXN,,2,0,11.24898882,8
Loratadine,CDI,L,AXN,,2,0,-1.636832048,8
Loratadine,CDI,L,AXN,,2,0,-13.00096003,8
Loratadine,CDI,L,AXN,,2,0,0.805221616,8
Loratadine,CDI,L,AXN,,3,0,6.826274793,8
Loratadine,CDI,L,AXN,,3,0,8.043084759,8
Loratadine,CDI,L,AXN,,3,0,1.588285416,8
Loratadine,CDI,L,AXN,,3,0,5.009633728,8
Loratadine,CDI,L,AXN,,3,0,1.258226061,8
Loratadine,CDI,L,AXN,,4,0,-3.547718095,8
Loratadine,CDI,L,AXN,,4,0,2.350942376,8
Loratadine,CDI,L,AXN,,4,0,-6.226866621,8
Loratadine,CDI,L,AXN,,4,0,17.02488503,8
Loratadine,CDI,L,AXN,,4,0,13.78992535,8
Loratadine,CDI,L,AXN,,1,0,9.292271812,9
Loratadine,CDI,L,AXN,,2,0,9.229743643,9
Loratadine,CDI,L,AXN,,3,0,7.038184367,9
Loratadine,CDI,L,AXN,,4,0,-2.312569785,9
Loratadine,CDI,L,AXN,,1,0,13.57847662,9
Loratadine,CDI,L,AXN,,2,0,14.70549375,9
Loratadine,CDI,L,AXN,,3,0,19.05379654,9
Loratadine,CDI,L,AXN,,4,0,14.02680808,9
Loratadine,CDI,L,AXN,,1,0,7.992528632,9
Loratadine,CDI,L,AXN,,2,0,12.73691369,9
Loratadine,CDI,L,AXN,,3,0,12.21630845,9
Loratadine,CDI,L,AXN,,4,0,13.20245356,9
Loratadine,CDI,L,AXN,,1,0,4.924117536,9
Loratadine,CDI,L,AXN,,2,0,4.754966844,9
Loratadine,CDI,L,AXN,,3,0,2.928749129,9
Loratadine,CDI,L,AXN,,4,0,7.129348593,9
Loratadine,CDI,L,AXN,,1,0,5.961720089,9
Loratadine,CDI,L,AXN,,2,0,16.49406683,9
Loratadine,CDI,L,AXN,,3,0,15.10702347,9
Loratadine,CDI,L,AXN,,4,0,9.433066101,9
Loratadine,AXG,L,AXN,,1,0,-14.3460602,3
Loratadine,AXG,L,AXN,,2,0,-15.5367132,3
Loratadine,AXG,L,AXN,,3,0,-13.39359368,3
Loratadine,AXG,L,AXN,,4,0,-7.353570689,3
Loratadine,AXG,L,AXN,,1,0,-5.242351427,3
Loratadine,AXG,L,AXN,,2,0,-14.4541796,3
Loratadine,AXG,L,AXN,,3,0,-7.974294017,3
Loratadine,AXG,L,AXN,,4,0,-15.35945308,3
Loratadine,AXG,L,AXN,,1,0,-9.829149268,3
Loratadine,AXG,L,AXN,,2,0,-11.53940686,3
Loratadine,AXG,L,AXN,,3,0,-7.063380113,3
Loratadine,AXG,L,AXN,,4,0,-11.03237884,3
Loratadine,AXG,L,AXN,,1,0,-6.884583521,3
Loratadine,AXG,L,AXN,,2,0,-18.99237069,3
Loratadine,AXG,L,AXN,,3,0,-7.172307818,3
Loratadine,AXG,L,AXN,,4,0,-15.03131493,3
Loratadine,AXG,L,AXN,,1,0,-13.4136712,3
Loratadine,AXG,L,AXN,,2,0,-12.03450826,3
Loratadine,AXG,L,AXN,,3,0,-2.652024724,3
Loratadine,AXG,L,AXN,,4,0,-13.29272759,3
Loratadine,AXG,L,AXN,,1,0,-22.62151315,3
Loratadine,AXG,L,AXN,,2,0,13.6337161,3
Loratadine,AXG,L,AXN,,3,0,-4.705331446,3
Loratadine,AXG,L,AXN,,4,0,-5.694028208,3
Loratadine,CDI,L,MCS,,1,0,12.98937651,3
Loratadine,CDI,L,MCS,,2,0,8.823781412,3
Loratadine,CDI,L,MCS,,3,0,20.20693765,3
Loratadine,CDI,L,MCS,,4,0,10.97393131,3
Loratadine,CDI,L,MCS,,1,0,17.29210053,3
Loratadine,CDI,L,MCS,,2,0,10.22217435,3
Loratadine,CDI,L,MCS,,3,0,13.78288463,3
Loratadine,CDI,L,MCS,,4,0,18.59702309,3
Loratadine,CDI,L,MCS,,1,0,5.448315656,3
Loratadine,CDI,L,MCS,,2,0,18.77798787,3
Loratadine,CDI,L,MCS,,3,0,13.25680962,3
Loratadine,CDI,L,MCS,,4,0,13.96953076,3
Loratadine,CDI,L,MCS,,1,0,21.03333993,3
Loratadine,CDI,L,MCS,,2,0,16.79853463,3
Loratadine,CDI,L,MCS,,3,0,19.74765426,3
Loratadine,CDI,L,MCS,,4,0,18.68778025,3
Loratadine,CDI,L,MCS,,1,0,12.54627823,3
Loratadine,CDI,L,MCS,,2,0,3.404106196,3
Loratadine,CDI,L,MCS,,3,0,15.35338413,3
Loratadine,CDI,L,MCS,,4,0,15.81793115,3
